 Originator ,Govt Loan #,"Notional Gtd
Balance",Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS
 Patriot Bank ,4286919100," 282,000.00 "," 14,591.81 ",2.750%,1.540%,3.360,5.174%,11/1/2022,11/1/2047,Brothers Property LLC dba dba Lakeside Wine & Liquor,Monroe,CT,06468,445310
 Colony Bank ,4138319106," 757,350.00 "," 85,374.55 ",2.750%,3.355%,3.360,11.273%,10/18/2022,10/18/2047,Fresh Water at Hudson ALF,Hudson,FL,34667,623312
 Hanmi Bank ,4309779110," 3,180,000.00 "," 198,203.04 ",1.250%,1.855%,3.360,6.233%,9/21/2022,10/5/2047,TJSJ LLC                                ,COLORADO SPRINGS,CO,80915,721110
 Sunwest Bank ,4590699100," 669,375.00 "," 10,795.68 ",1.750%,0.480%,3.360,1.613%,11/23/2022,11/29/2047,JSG Holdings LLC (EPC)Orange Box Productions Inc dba FASTSIGNS of Torrance (OC),Torrance,CA,90501,339950
 Umpqua Bank ,4318079103," 2,363,972.55 "," 167,199.05 ",1.500%,2.105%,3.360,7.073%,10/7/2022,10/27/2047,VENTURA HOUSING LLC (Hope and Dreams Assisted Living),La Canada Flintridge,CA,91011,623210
 State Bank of Texas ,4299679110," 2,504,569.26 "," 198,181.56 ",1.750%,2.355%,3.360,7.913%,10/26/2022,10/26/2047,"Shree Siddhivinayak, LLC",Mobile,AL,36608,721110
 Umpqua Bank ,4322349104," 1,216,000.74 "," 96,219.71 ",1.750%,2.355%,3.360,7.913%,10/3/2022,10/13/2047,JOSEPH T BAISSA (Comfort Living AFH),West Richland,WA,99353,623312
 Umpqua Bank ,4338119110," 1,492,275.00 "," 118,080.74 ",1.750%,2.355%,3.360,7.913%,10/4/2022,10/12/2047,GOJO REAL ESTATE LLC (River Valley AFH),Bellvue,WA,00147,623312
 HomeTrust Bank ,4342569108," 1,142,752.76 "," 90,423.74 ",1.750%,2.355%,3.360,7.913%,10/19/2022,10/19/2047,Nala Mandeep LLC,Naches,WA,98937,457110
 Mega Bank ,4311669100," 1,353,184.45 "," 141,175.03 ",2.500%,3.105%,3.360,10.433%,9/19/2022,10/3/2047,Mandeep Bhogal & Rajvir Bhogal,Fremont,CA,94536,811192
 South State Bank ,3146389100," 1,074,750.00 "," 47,718.90 ",2.750%,1.480%,3.000,4.440%,1/31/2022,7/31/2047,One World Montessori,Jacksonville,NC,28540,611110
 Incredible Bank ,3325229104," 752,859.34 "," 5,194.73 ",1.500%,0.230%,3.000,0.690%,3/4/2022,9/4/2047,"The Rock Shop, Inc.",Marquette,MI,49855,327991
 HomeStreet Bank ,3377679101," 336,187.34 "," 16,792.56 ",1.000%,1.665%,3.000,4.995%,2/18/2022,2/18/2047,Twenty Sixteen LLC,Puyallup,WA,98371,425120
 Bank of Oak Ridge ,3561609102," 961,588.01 "," 45,540.81 ",2.750%,1.480%,3.200,4.736%,6/8/2022,12/8/2047,M.A. Boston Mortuary Inc,Conyers,GA,30094,812210
 Cogent Bank ,3610349104," 1,046,836.26 "," 81,810.25 ",2.000%,2.605%,3.000,7.815%,3/21/2022,7/21/2047,NAAS MILAN LLC,Atlanta,GA,30324,722511
 Lakeland Bank ,3639099105," 508,464.34 "," 47,429.55 ",2.250%,2.915%,3.200,9.328%,4/5/2022,7/5/2047,Garden Grove Preschool Inc.,Sparta,NJ,07871,624410
 FinWise Bank ,3874309107," 261,099.05 "," 29,338.39 ",2.250%,3.405%,3.300,11.237%,6/3/2022,6/3/2047,Herting Law PLLC,West Des Moines,IA,50265,541110
 Busey Bank ,3891919104," 561,946.79 "," 23,922.07 ",2.500%,1.290%,3.300,4.257%,6/14/2022,6/14/2047,"Morgan Veterinary Services, Inc",Cape Coral,FL,33909,541940
 Bank of Dudley ,3926739110," 592,500.00 "," 5,670.23 ",1.500%,0.290%,3.300,0.957%,6/28/2022,12/28/2047,2119 Jefferson LLC,Macon,GA,31210,457110
 Byline Bank ,4019759106," 712,800.00 "," 28,494.18 ",2.500%,1.230%,3.250,3.998%,5/12/2022,6/12/2047,"TAKE 5 MOUNT PROSPECT, LLC",Mount Prospect,IL,60056,811191
 Woori America Bank ,4071039110," 2,323,273.91 "," 103,885.19 ",0.750%,1.355%,3.300,4.472%,6/10/2022,6/10/2047,J 154 LLC (CAFÉ W CORP),Flushing,NY,11354,311811
 b1Bank ,4086229100," 431,754.60 "," 21,941.77 ",2.750%,1.540%,3.300,5.082%,6/10/2022,6/10/2047,Houston Paint Protection,Houston,TX,77018,811192
 First Commonwealth Bank ,4092929105," 448,950.00 "," 19,111.80 ",2.500%,1.290%,3.300,4.257%,6/1/2022,6/1/2047,Hilliard Lofts LLC and Christine Maria Hair LLC,Lakewood,OH,44107,812112
 Harvest Small Business Finance LLC ,4103419101," 155,700.00 "," 7,912.67 ",2.750%,1.540%,3.300,5.082%,6/8/2022,10/26/2047,Lotus Enterprises Inc,Nashville,TN,37207,624410
 Summit State Bank ,4106129103," 1,074,203.12 "," 83,481.70 ",1.750%,2.355%,3.300,7.772%,6/21/2022,6/21/2047,VALVE LLC,Brea,CA,92821,811111
 FinWise Bank ,4148389109," 1,123,193.86 "," 36,984.53 ",2.250%,0.980%,3.360,3.293%,8/30/2022,8/30/2047,B Linen Service Inc,Paterson,NJ,07524,812320
 Summit State Bank ,4167849100," 1,306,142.42 "," 69,599.10 ",1.000%,1.605%,3.320,5.329%,7/13/2022,7/13/2047,NOW SEATTLE LLC,Seattle,WA,98133,721110
 FinWise Bank ,4173829101," 1,085,823.27 "," 35,115.52 ",2.250%,0.980%,3.300,3.234%,8/16/2022,8/16/2047,J&R Construction Services Inc,Brooklyn,NY,11218,236118
 Hanmi Bank ,4207859109," 573,750.00 "," 27,278.37 ",0.750%,1.415%,3.360,4.754%,9/21/2022,9/21/2047,DENTAL ONE INC                          ,Fort Lee,NJ,07024,621210
 FinWise Bank ,4214169101," 261,885.58 "," 29,961.81 ",2.250%,3.405%,3.360,11.441%,9/9/2022,9/9/2047,MM Tires Inc,South Fallsburg,NY,12779,441320
 Woori America Bank ,4214219103," 2,515,078.49 "," 156,759.81 ",1.250%,1.855%,3.360,6.233%,9/15/2022,9/15/2047,A-1 PARTNERS GROUP,Gardena,CA,90247,811111
 North State Bank ,4214749109," 706,125.00 "," 36,537.73 ",2.750%,1.540%,3.360,5.174%,8/19/2022,8/19/2047,West End Avenue Properties LLC and Inglenook House Inc.,Englewood,FL,34223,623312
 Woori America Bank ,4227419103," 189,536.25 "," 13,723.94 ",1.000%,2.155%,3.360,7.241%,8/18/2022,8/18/2047,JSMC PROPERTY LLC,Trenton,NJ,08608,456120
 Woori America Bank ,4237459108," 160,631.75 "," 8,986.38 ",1.000%,1.665%,3.360,5.594%,8/26/2022,8/26/2047,MS EXPRESS LLC,Oak Park,GA,30471,484121
 Woori America Bank ,4237599104," 336,703.11 "," 18,836.52 ",1.000%,1.665%,3.360,5.594%,9/9/2022,9/9/2047,MS EXPRESS LLC,Savana,GA,31405,484121
 Woori America Bank ,4246589103," 822,132.32 "," 37,430.04 ",0.750%,1.355%,3.360,4.553%,9/2/2022,9/2/2047,South Gate Bindery Inc,South Gate,CA,90280,323120
 FinWise Bank ,4247139110," 1,314,375.00 "," 32,238.99 ",2.000%,0.730%,3.360,2.453%,9/21/2022,9/21/2047,"Duralux NY, LLC",Hillburn,NY,10931,531120
 Woori America Bank ,4248119106," 411,536.26 "," 29,936.79 ",1.500%,2.165%,3.360,7.274%,9/1/2022,9/1/2047,"ROGEL LAUNDRY, LLC",Beach Park,IL,60099,812310
 Meridian Bank ,4257619105," 1,420,179.84 "," 10,975.15 ",1.500%,0.230%,3.360,0.773%,9/28/2022,9/28/2047,Kings Passion LLC,Paterson,NJ,07513,722511
 Pacific City Bank ,4261089104," 1,648,012.19 "," 12,735.84 ",1.500%,0.230%,3.360,0.773%,8/31/2022,9/8/2047,Rodeway Inn Boardman OR,Boardman,OR,97818,721110
 Pacific City Bank ,4276659101," 461,394.32 "," 3,565.66 ",1.500%,0.230%,3.360,0.773%,9/26/2022,9/30/2047,Westward Inn ,Brookings,OR,97415,721110
 Woori America Bank ,4295389109," 299,210.55 "," 16,739.04 ",1.000%,1.665%,3.360,5.594%,9/19/2022,9/19/2047,"MOON YOUNG SIK (Havertown Hourglass Cleaners, Inc)",Havertown,PA,19083,812320
 Pacific City Bank ,4308589110," 1,453,500.00 "," 11,232.65 ",1.500%,0.230%,3.360,0.773%,9/22/2022,9/27/2047,Hardy's Market,Sequim,WA,98382,445131
 Wilmington Savings Fund Society FSB ,4315609101," 1,039,453.07 "," 8,032.89 ",1.500%,0.230%,3.360,0.773%,9/27/2022,9/27/2047,Honesty automotive repairs LLC,Mount Pocono,PA,18344,81111
 Pacific City Bank ,4315819105," 1,734,272.90 "," 13,402.46 ",1.500%,0.230%,3.360,0.773%,9/27/2022,9/29/2047,Garden of Gods Motel,Colorado Springs,CO,80904,721110
 Pacific City Bank ,4322469105," 863,044.85 "," 13,919.19 ",1.750%,0.480%,3.360,1.613%,9/27/2022,9/29/2047,JW Grocery ,Dallas,TX,75229,445110
 Teachers Credit Union ,4329049100," 3,750,000.00 "," 154,980.00 ",2.500%,1.230%,3.360,4.133%,12/5/2022,12/5/2047,"TA Hampton Group 2, LLC",San Marcos,TX,78666,721110
 Cadence Bank ,4332449103," 360,750.00 "," 26,242.40 ",1.500%,2.165%,3.360,7.274%,9/30/2022,9/30/2047,Tejupilco LLC,Austin,TX ,78747,722511
 Pacific Premier Bank ,4346339106," 1,215,000.00 "," 9,389.52 ",1.500%,0.230%,3.360,0.773%,10/12/2022,10/17/2047,PINE GROUP INC,Canoga Park,CA,91303,236115
 US Metro Bank ,4346659108," 930,000.00 "," 7,187.04 ",1.500%,0.230%,3.360,0.773%,10/17/2022,10/17/2047,Kohinoor Investment Corporation,Wells,NV,89835,721110
 Hanmi Bank ,4346799104," 2,685,000.00 "," 144,796.68 ",1.000%,1.605%,3.360,5.393%,10/7/2022,10/7/2047,TRAN NGUYEN LLC                         ,Plano,TX,75074,811192
 Newtek Small Business Finance ,4350669103," 524,527.79 "," 26,083.72 ",2.750%,1.480%,3.360,4.973%,10/20/2022,10/20/2047,PENNY P COOK dba Cook Home,Sanger,CA,93657,623210
 US Metro Bank ,4353019102," 1,177,500.00 "," 93,173.22 ",1.750%,2.355%,3.360,7.913%,10/13/2022,10/13/2047,Stellar Properties LLC,Lake Havasu City,AZ,86403,447110
 Merchants Bank of Indiana ,4353749109," 482,325.00 "," 42,216.94 ",2.000%,2.605%,3.360,8.753%,10/28/2022,10/28/2047,Busa Auto Body/WS Partnership LLC,Schaumburg,IL,60193,811121
 Hanmi Bank ,4356409107," 2,895,000.00 "," 156,121.56 ",1.000%,1.605%,3.360,5.393%,10/12/2022,10/12/2047,LEGACY CARWASH LEWISVILLE LLC           ,Lewisville,TX,75067,811192
 Grasshopper Bank ,4363369106," 2,188,500.00 "," 173,171.63 ",1.750%,2.355%,3.360,7.913%,10/26/2022,10/26/2047,"Neal's Nook, LLC dba Super 8 West Greenwich Inn",West Greenwich,RI,02817,721110
 HomeTrust Bank ,4365469105," 1,397,581.88 "," 122,327.55 ",2.000%,2.605%,3.360,8.753%,10/18/2022,10/18/2047,1742 Morse Ave LLC,Ventura ,CA,93003,811121
 Pinnacle Bank ,4366109104," 713,250.00 "," 50,446.75 ",1.500%,2.105%,3.360,7.073%,10/31/2022,10/31/2047,"Central Carolina Gymnastics Academy, LLC dba Lanham Properties, LLC",Lexington,NC,27295-,611620
 Woori America Bank ,4374999102," 1,498,602.63 "," 93,404.90 ",1.250%,1.855%,3.360,6.233%,10/20/2022,10/20/2047,Sunsine LLC,Winnie,TX,77665,721110
 Grasshopper Bank ,4376129103," 503,250.00 "," 12,343.72 ",2.000%,0.730%,3.360,2.453%,11/16/2022,11/16/2047,Fulton Mercer Corporation dba Heritage Funeral Home,Brady,TX,76825,812210
 Wilson Bank and Trust ,4383399101," 211,125.00 "," 12,626.96 ",2.500%,1.780%,3.360,5.981%,10/27/2022,10/27/2047,Mami Panchi Grill,Lebanon,TN,37087,722511
 Hanover Community Bank ,4384269110," 1,020,000.00 "," 7,882.56 ",1.500%,0.230%,3.360,0.773%,12/1/2022,12/1/2047,Dhruv Hospitality Inc dba Rodeway Inn,Little Falls,NY,13365,721110
 First IC Bank ,4385719105," 669,375.00 "," 47,343.56 ",1.500%,2.105%,3.360,7.073%,10/20/2022,10/20/2047,"MEMPHIS2022 CORP 
DBA AMERICAN DELI",Memphis,TN,38116,722513
 CalPrivate Bank ,4394239105," 2,015,850.00 "," 227,242.74 ",2.750%,3.355%,3.360,11.273%,10/20/2022,10/26/2047,2080 Palm LLC,Palm Springs,CA,92262,722511
 Legence Bank ,4409199110," 2,137,500.00 "," 52,428.60 ",2.000%,0.730%,3.360,2.453%,11/18/2022,11/18/2047,SHRI SR LLC,Fort Walton Beach,FL,32548,721110
 American Momentum Bank ,4419239102," 1,321,500.00 "," 115,668.25 ",2.000%,2.605%,3.360,8.753%,10/31/2022,10/31/2047,Sanford Auto Services,San Antonio,TX,78213,811110
 Loyal Trust Bank ,4420339105," 1,682,625.00 "," 119,008.70 ",1.500%,2.105%,3.360,7.073%,11/1/2022,11/1/2047,JSJ ATL LLC dba Shoktini,Athens,GA,30601,722511
 Magyar Bank ,4422229100," 1,393,875.00 "," 57,606.07 ",2.500%,1.230%,3.360,4.133%,11/16/2022,11/16/2047,"Cozy Cove Marina Company, Inc.",Island Heights,NJ,08732,713930
 Eaglebank Corp. ,4423599108," 1,222,500.00 "," 40,254.48 ",2.250%,0.980%,3.360,3.293%,11/16/2022,11/16/2047,Grow Bright LLC,Fredericksburg,VA,22405,624410
 Plumas Bank ,4432329110," 750,000.00 "," 12,096.00 ",1.750%,0.480%,3.360,1.613%,10/28/2022,11/21/2047,WTF Land LLC and The Service Station Inc dba The Service Station ,Jamestown,CA,95327,722511
 HomeTrust Bank ,4442929106," 712,500.00 "," 80,318.70 ",2.750%,3.355%,3.360,11.273%,11/4/2022,11/4/2047,The Moving Picture Cinema LLC,Orefield,PA,18069,713990
 US Metro Bank ,4445639108," 2,622,000.00 "," 207,473.62 ",1.750%,2.355%,3.360,7.913%,11/1/2022,11/1/2047,L&G Hospitality LLC,Conway,AR,72032,721110
 Pinnacle Bank ,4447839102," 898,500.00 "," 22,038.41 ",2.000%,0.730%,3.360,2.453%,11/22/2022,11/22/2047,"Carolina Renovation Warehouse, LLC/Chestnut Property Holdings, LLC",Gastonia,NC,28052,337110
 Celtic Bank ,4448219106," 1,513,500.00 "," 75,263.33 ",2.750%,1.480%,3.360,4.973%,11/23/2022,11/23/2047,KEYS COMMUNITY INC,PHOENIX,AZ,85008,623220
 CalPrivate Bank ,4461939104," 1,987,500.00 "," 48,749.40 ",2.000%,0.730%,3.360,2.453%,11/18/2022,11/30/2047,8304 Sepulveda Blvd LLC,North Hills,CA,91343,447110
 First Internet Bank ,4470019101," 1,146,000.00 "," 28,109.09 ",2.000%,0.730%,3.360,2.453%,11/8/2022,11/8/2047,"S & I Oil Plus, Inc. dba Pleasant Ridge Oil Change",Pleasant Ridge,MI,48069,811191
 Celtic Bank ,4471159110," 1,115,250.00 "," 46,091.05 ",2.500%,1.230%,3.360,4.133%,11/15/2022,11/15/2047,"SITARAM 2019, LLC",NEW VIENNA,OH,45159,457110
 Pacific City Bank ,4477099106," 442,500.00 "," 3,419.64 ",1.500%,0.230%,3.360,0.773%,11/15/2022,11/17/2047,Quick Gas and Food,Mount Pleasant,TX,75455,457110
 Craft Bank ,4479099110," 937,500.00 "," 30,870.00 ",2.250%,0.980%,3.360,3.293%,11/16/2022,11/16/2047,"Chargers 2, LLC",Wichita,KS,67209,721110
" VelocitySBA, LLC ",4485759103," 837,750.00 "," 20,548.33 ",2.000%,0.730%,3.360,2.453%,11/8/2022,11/21/2047,MARCO ANTONIO RODRIGUEZ RODRIGUEZ,Wilmington,CA,90744,722330
 US Metro Bank ,4493749100," 1,038,000.00 "," 73,415.66 ",1.500%,2.105%,3.360,7.073%,11/8/2022,11/8/2047,Yealem LLC,San Diego,CA,92108,623312
 CalPrivate Bank ,4499069109," 1,097,517.63 "," 26,919.91 ",2.000%,0.730%,3.360,2.453%,11/7/2022,11/9/2047,Home Expo Commercial LLC ,Santa Ana,CA,92703,444180
 American Momentum Bank ,4503089108," 649,875.00 "," 26,858.03 ",2.500%,1.230%,3.360,4.133%,11/16/2022,11/16/2047,Just for Kids East Hovis & Box 2,Melbourne,FL,32922,624410
 Celtic Bank ,4507539109," 1,050,000.00 "," 43,394.40 ",2.500%,1.230%,3.360,4.133%,11/14/2022,11/14/2047,TERRELL BUSINESS VENTURES LLC,TERRELL,TX,75160,457110
 Promise One Bank ,4507969109," 1,350,000.00 "," 10,432.80 ",1.500%,0.230%,3.360,0.773%,11/16/2022,11/16/2047,"YELLOW LOBSTER 888 GA-5, LLC",Greensboro,NC,27406,721110
 Celtic Bank ,4509819103," 524,324.94 "," 21,669.30 ",2.500%,1.230%,3.360,4.133%,11/10/2022,11/10/2047,"SSGG, LLC",LEMON GROVE,CA,91945,531120
 Celtic Bank ,4514019104," 870,000.00 "," 35,955.36 ",2.500%,1.230%,3.360,4.133%,11/15/2022,11/15/2047,"THE CAR WASH PORT TOWNSEND, LLC",PORT TOWNSEND,WA,98368,811192
 First Chatham Bank ,4515999107," 1,215,000.00 "," 40,007.52 ",2.250%,0.980%,3.360,3.293%,11/17/2022,11/17/2047,484 Moody Drive,Maysville,State,41056,721110
 Celtic Bank ,4538129107," 699,750.00 "," 11,285.57 ",1.750%,0.480%,3.360,1.613%,11/18/2022,11/18/2047,BADEEL BUSINESS INC,GRAPELAND,TX,75844,457110
 Blue Ridge Bank ,4538549104," 693,750.00 "," 34,498.80 ",2.750%,1.480%,3.360,4.973%,11/22/2022,11/22/2047,Misha LLC,Edgewater Park,NJ,08010,531120
 Fund-Ex Solutions Group ,4542599100," 2,200,125.00 "," 109,407.82 ",2.750%,1.480%,3.360,4.973%,11/22/2022,11/22/2047,The Williams Brothers Corporation of America,Front Royal,VA,22630,332321
 HomeTrust Bank ,4550679100," 1,380,000.00 "," 33,848.64 ",2.000%,0.730%,3.360,2.453%,12/1/2022,12/1/2047,SK Ventures 1 LLC,0,NC,28174,447110
 First Horizon Bank ,4556269107," 651,750.00 "," 5,036.72 ",1.500%,0.230%,3.360,0.773%,11/22/2022,11/22/2047,"Almond Engineering, P.A",Jacksonville,FL,32217,541340
 Pacific City Bank ,4560699110," 750,000.00 "," 5,796.00 ",1.500%,0.230%,3.360,0.773%,11/25/2022,12/8/2047,Hallmark Motor,Inglewood,CA,90301,811111
 Valley National Bank ,4575689110," 708,000.00 "," 11,418.62 ",1.750%,0.480%,3.360,1.613%,11/30/2022,11/30/2047,Winter Park Auto Exchange,Orlando,FL,32807,441120
 ReadyCap ,4577119107," 1,040,925.00 "," 25,531.81 ",2.000%,0.730%,3.360,2.453%,11/29/2022,11/29/2047,PREMIER WELLNESS AND AESTHETICS,San Francisco,CA,94102,621111
 CalPrivate Bank ,4589499102," 535,500.00 "," 26,629.34 ",2.750%,1.480%,3.360,4.973%,11/25/2022,11/30/2047,Irontable LLC,La Mesa,CA,91942,423920
 Pinnacle Bank ,7187638907," 532,800.00 "," 10,389.60 ",1.500%,0.780%,2.500,1.950%,5/20/2021,11/20/2047,"Tree House # 7 Holdings, LLC & Shades of Gray Painting, LLC",High Point,NC,27265,238320
 Heritage Southeast Bank ,9990289010," 1,566,389.93 "," 54,134.44 ",2.000%,1.280%,2.700,3.456%,10/29/2021,10/29/2046,"Atlanta Eye Consultants, P.C.",Atlanta,GA,30328,621320
 M&T Bank ,3592299108," 681,390.38 "," 44,263.12 ",1.500%,2.240%,2.900,6.496%,3/24/2022,3/24/2042,"ACG Holding, LLC",Hanover,PA,17331,551112
 M&T Bank ,3908739106," 284,289.33 "," 20,528.53 ",1.750%,2.490%,2.900,7.221%,5/2/2022,5/2/2042,TLV Enterprises LLC,Doylestown,PA,18902,453998
 Quantum National Bank ,4474349103," 2,250,000.00 "," 136,788.75 ",1.250%,1.930%,3.150,6.080%,11/10/2022,11/10/2042,"Vivian Hospitality, LLC dba Rodeway Inn & Suites  ",Marietta,GA,30067,721110
 US Metro Bank ,4521729103," 318,750.00 "," 33,790.05 ",2.000%,3.155%,3.360,10.601%,11/14/2022,11/14/2047,James Auto Repair,Baldwin Park,CA,91706,811111
 Cadence Bank ,4451169105," 208,487.61 "," 10,717.93 ",1.750%,1.530%,3.360,5.141%,11/10/2022,11/10/2047,Jade Shield LLC,Georgetown,TX ,78626,621330
 PCB Bank ,4505179104," 3,375,000.00 "," 139,482.00 ",2.000%,1.230%,3.360,4.133%,11/16/2022,12/27/2047,K Pack,Broookshire,TX,77423,424610
 CAPSTAR Bank ,4549749100," 1,057,425.00 "," 17,054.15 ",1.250%,0.480%,3.360,1.613%,11/18/2022,11/18/2047,"FRNS USA, Inc. ",Cleveland ,GA ,30528,447100
 Hanmi Bank ,4405989103," 3,556,500.00 "," 27,484.63 ",1.000%,0.230%,3.360,0.773%,10/24/2022,11/10/2047,HSHAH LLC                               ,Snohomish                               ,WA,98290,447110
 Bank Five Nine ,4333747000," 927,133.37 "," 38,316.57 ",2.000%,1.230%,3.360,4.133%,7/30/2020,7/30/2046,Storage Ninja,Ashland,NE,68003,531130
 Fremont Bank ,4479849110," 3,000,000.00 "," 98,784.00 ",1.750%,0.980%,3.360,3.293%,11/23/2022,11/30/2047,"ZMC Kitchen & Bath, Inc",Rancho Cordova,CA,95742,337110
 Peoples Bank ,4529719105," 3,431,550.00 "," 141,819.10 ",2.000%,1.230%,3.360,4.133%,11/15/2022,11/15/2047,DJHN Investment LLC dba LaQuinta Inn & Suites,Midland,TX,79707,721110
 US Metro Bank ,4659189110," 3,750,000.00 "," 91,980.00 ",1.500%,0.730%,3.360,2.453%,12/13/2022,12/13/2047,BSD Hotels LLC,Katy,TX,77449,721110
 US Metro Bank ,4594819107," 1,542,000.00 "," 76,680.58 ",2.250%,1.480%,3.360,4.973%,12/1/2022,12/1/2047,Secolo Land Development LLC - 22nd St,Tucson,AZ,85710,811192
 US Metro Bank ,4594749110," 1,983,000.00 "," 98,610.62 ",2.250%,1.480%,3.360,4.973%,12/1/2022,12/1/2047,Secolo Land Development LLC - Valencia Rd,Tucson,AZ,85746,811192
 US Metro Bank ,4594829110," 225,000.00 "," 15,346.80 ",2.250%,2.030%,3.360,6.821%,12/1/2022,12/1/2047,Secolo Land Development LLC - 1st Avenue,Tucson,AZ,85719,811192
" VelocitySBA, LLC ",4264779105," 897,750.00 "," 52,184.41 ",2.500%,1.730%,3.360,5.813%,8/26/2022,12/7/2047,Charles Edward Barker,Government Camp,OR,97028,722511
 EverTrust Bank ,4350019107," 142,500.00 "," 8,522.64 ",2.000%,1.780%,3.360,5.981%,10/17/2022,10/17/2047,"HGK LLC (EPC)
Big Star Road, Inc. (OC)",Riverside,CA,92507,484110
 EverTrust Bank ,4585469107," 750,000.00 "," 18,396.00 ",1.500%,0.730%,3.360,2.453%,11/29/2022,11/29/2047,"Nvard Gevorkian EPC)
Grant Serenity of Del Mar Inc (OC)",Pasadena,CA,91107,621610
